from_location_id,to_location_id,google_distance_km,sectional_tat
54,18,1146.187,137542440
54,19,520.826,62499120
54,20,2428.456,291414720
54,21,1292.8,155136000
54,22,1679.3,201516000
54,23,1674.403,200928359
54,87,188.281,22593719
54,89,2718.313,326197560
54,90,770.205,92424600
54,91,1581.605,189792600
54,92,1936.627,232395240
54,93,709.7,85164000
54,95,2576.975,309237000
54,96,2090.096,250811520
54,97,1994.997,239399640
54,98,139.681,16761720
54,99,1312.16,157459200
54,103,2736.669,328400280
54,104,2722.257,326670840
54,105,1468.129,176175480
54,110,2830.489,339658680
54,114,1031.996,123839520
54,117,420.839,50500680
54,119,1853.645,222437400
54,121,905.455,108654600
54,124,1451.23,174147600
54,126,1033.005,123960600
54,128,902.468,108296160
54,129,1533.246,183989520
54,131,453.412,54409440
54,133,350.563,42067560
54,159,276.63,33195600
54,195,2914.795,349775400
54,196,2165.455,259854600
54,473,2967.203,356064360
153,50,193.201,18000000
153,125,75.831,10800000
153,54,159.579,17520000
153,153,0,0
153,168,259.808,31176960
153,53,70.592,10800000
153,10,1236.435,148372200
153,11,1310.918,157310160
153,129,1668.186,200182320
153,143,1472.89,176746800
153,127,1427.783,171333959
153,24,1526.75,183210000
153,25,1630.578,195669360
153,12,2524.538,302944560
153,111,2669.479,320337480
153,135,2264.445,271733400
153,171,2728.004,327360480
153,13,1775.308,213036960
153,108,1653.556,198426720
153,14,1844.379,221325479
153,15,453.445,54413400
153,16,2265.391,271846920
153,17,1911.195,229343400
153,18,1281.126,153735120
153,19,655.765,78691800
153,20,2563.395,307607400
153,21,1427.74,171328800
153,22,1814.239,217708680
153,23,1809.342,217121040
153,87,318.07,38168399
153,89,2853.252,342390240
153,90,905.144,108617279
153,91,1716.544,205985279
153,92,2071.566,248587920
153,93,844.639,101356679
153,95,2711.914,325429680
153,96,2225.035,267004200
153,97,2129.936,255592320
153,98,305.87,36704400
153,99,1447.099,173651880
153,103,2871.608,344592960
153,104,2857.196,342863519
153,105,1603.068,192368160
153,110,2965.429,355851480
153,114,1166.935,140032200
153,117,555.778,66693360
153,119,1988.584,238630079
153,121,1040.394,124847280
153,124,1586.169,190340279
153,126,1167.944,140153280
153,128,1037.407,124488840
153,129,1668.186,200182320
153,131,588.351,70602120
153,133,485.503,58260360
153,159,411.57,49388400
153,195,3049.734,365968080
153,196,2300.394,276047279
153,473,3102.143,372257160
168,50,72.299,10800000
168,125,335.549,40265880
168,54,127.983,15357960
168,153,262.096,31451520
168,168,0,0
168,53,193.447,23213640
168,10,1089.415,130729800
168,11,1129.412,135529440
168,129,1408.464,169015680
168,143,1325.87,159104399
168,127,1280.763,153691560
168,24,1267.028,152043360
168,25,1370.856,164502720
168,12,2264.816,271777920
168,111,2409.758,289170960
168,135,2004.723,240566760
168,171,2468.282,296193840
168,13,1515.587,181870440
168,108,1393.834,167260079
168,14,1584.658,190158959
168,15,193.723,23246759
168,16,2005.669,240680280
168,17,1651.473,198176759
168,18,1021.404,122568479
168,19,396.044,47525280
168,20,2303.674,276440880
168,21,1168.018,140162160
168,22,1554.517,186542040
168,23,1549.621,185954520
168,87,134.738,16168559
168,89,2593.53,311223600
168,90,645.422,77450640
168,91,1456.823,174818759
168,92,1811.845,217421400
168,93,584.918,70190160
168,95,2452.192,294263040
168,96,1965.314,235837679
168,97,1870.214,224425680
168,98,162.389,19486680
168,99,1187.378,142485359
168,103,2611.887,313426440
168,104,2597.474,311696880
168,105,1343.346,161201520
168,110,2705.707,324684840
168,114,907.214,108865680
168,117,299.653,35958360
168,119,1728.863,207463560
168,121,780.673,93680760
168,124,1326.447,159173640
168,126,908.222,108986640
168,128,777.686,93322320
168,129,1408.464,169015680
168,131,328.63,39435600
168,133,229.377,27525240
168,159,151.848,18221759
168,195,2790.012,334801440
168,196,2040.672,244880640
168,473,2842.421,341090520
53,50,125.608,18000000
53,125,142.804,14400000
53,54,116.435,13972200
53,153,69.35,10800000
53,168,192.216,23065920
53,53,0,0
53,10,1281.544,153785279
53,11,1321.541,158584920
53,129,1600.593,192071160
53,143,1517.999,182159880
53,127,1472.892,176747040
53,24,1459.157,175098840
